carrier,origin_airport,destination_airport
SkyWest Airlines Inc.,"Chicago, IL: Chicago O'Hare International","Eugene, OR: Mahlon Sweet Field"
Alaska Airlines Inc.,"Kona, HI: Ellison Onizuka Kona International at Keahole","Anchorage, AK: Ted Stevens Anchorage International"
PSA Airlines Inc.,"Philadelphia, PA: Philadelphia International","Omaha, NE: Eppley Airfield"
United Air Lines Inc.,"Honolulu, HI: Daniel K Inouye International","Newark, NJ: Newark Liberty International"
Rehw6 Airline,"San Antonio, TX: San Antonio International","Newark, NJ: Newark Liberty International"
Spirit Air Lines,"Philadelphia, PA: Philadelphia International","Los Angeles, CA: Los Angeles International"
Envoy Air,"Santa Rosa, CA: Charles M. Schulz - Sonoma County","Dallas/Fort Worth, TX: Dallas/Fort Worth International"
ExpressJet Airlines LLC d/b/a aha!,"Tucson, AZ: Tucson International","Chicago, IL: Chicago O'Hare International"
Endeavor Air Inc.,"New York, NY: John F. Kennedy International","Dallas/Fort Worth, TX: Dallas/Fort Worth International"
American Airlines Inc.,"Chicago, IL: Chicago O'Hare International","Honolulu, HI: Daniel K Inouye International"
Frontier Airlines Inc.,"Las Vegas, NV: McCarran International","Newark, NJ: Newark Liberty International"
Southwest Airlines Co.,"San Jose, CA: Norman Y. Mineta San Jose International","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
JetBlue Airways,"San Francisco, CA: San Francisco International","Boston, MA: Logan International"
Mesa Airlines Inc.,"Reno, NV: Reno/Tahoe International","Houston, TX: George Bush Intercontinental/Houston"
Delta Air Lines Inc.,"New York, NY: John F. Kennedy International","Honolulu, HI: Daniel K Inouye International"
Allegiant Air,"Los Angeles, CA: Los Angeles International","Cincinnati, OH: Cincinnati/Northern Kentucky International"
Hawaiian Airlines Inc.,"Honolulu, HI: Daniel K Inouye International","Boston, MA: Logan International"
