"","Country","All","M","F","landlocked"
"1","Monaco",89.52,85.7,93.49,FALSE
"2","Singapore",86.35,83.65,89.2,FALSE
"3","Macau",84.98,82.09,88.02,FALSE
"4","Japan",84.83,81.92,87.9,FALSE
"5","San Marino",83.86,81.3,86.65,TRUE
"6","Canada",83.8,81.52,86.21,FALSE
"7","Iceland",83.64,81.41,85.97,FALSE
"8","Hong Kong",83.61,80.91,86.46,FALSE
"9","Andorra",83.42,81.2,85.79,TRUE
"10","Israel",83.35,81.45,85.34,FALSE
"11","Guernsey",83.23,80.52,86.07,FALSE
"12","Switzerland",83.23,80.91,85.67,TRUE
"13","Malta",83.2,81.11,85.38,FALSE
"14","Australia",83.09,80.93,85.36,FALSE
"15","Luxembourg",82.98,80.52,85.58,TRUE
"16","South Korea",82.97,79.88,86.24,FALSE
"17","Sweden",82.7,80.94,84.58,FALSE
"18","Jersey",82.63,80.13,85.28,FALSE
"19","France",82.59,79.53,85.79,FALSE
"20","Italy",82.59,80.25,85.08,FALSE
"21","Liechtenstein",82.56,80.33,85.38,TRUE
"22","Norway",82.55,80.42,84.79,FALSE
"23","Spain",82.55,79.84,85.4,FALSE
"24","New Zealand",82.54,80.78,84.39,FALSE
"25","Austria",82.27,79.64,85.04,TRUE
"26","Anguilla",82.2,79.59,84.89,FALSE
"27","Netherlands",82.16,79.93,84.49,FALSE
"28","Bermuda",82.04,78.96,85.28,FALSE
"29","Cayman Islands",82.04,79.35,84.79,FALSE
"30","Isle of Man",82.04,80.23,84,FALSE
"31","United Kingdom",81.94,79.95,84.04,FALSE
"32","Belgium",81.86,79.25,84.59,FALSE
"33","Slovenia",81.82,78.96,84.79,FALSE
"34","Finland",81.76,78.86,84.79,FALSE
"35","Puerto Rico",81.68,78.47,85.08,FALSE
"36","Denmark",81.66,79.74,83.71,FALSE
"37","Ireland",81.66,79.35,84.1,FALSE
"38","Germany",81.51,79.15,84,FALSE
"39","Portugal",81.5,78.37,84.79,FALSE
"40","Greece",81.49,78.96,84.2,FALSE
"41","Saint Pierre and Miquelon",81.41,79.05,83.9,FALSE
"42","Faroe Islands",81.26,78.73,83.97,FALSE
"43","Taiwan",81.16,78.17,84.34,FALSE
"44","Turks and Caicos Islands",80.82,78.07,83.71,FALSE
"45","Wallis and Futuna",80.67,77.68,83.81,FALSE
"46","Brunei",80.59,78.36,82.79,FALSE
"47","Saint Barthelemy",80.58,77.48,83.81,NA
"48","Saint Martin",80.58,77.48,83.81,FALSE
"49","Saint Helena, Ascension and Tristan da Cunha",80.48,77.58,83.51,FALSE
"50","Gibraltar",80.42,77.58,83.41,FALSE
"51","U.S. Virgin Islands",80.27,77.08,83.65,NA
"52","Bahrain",79.9,77.63,82.24,FALSE
"53","Qatar",79.81,77.7,81.96,FALSE
"54","Chile",79.79,76.8,82.92,FALSE
"55","Cyprus",79.74,76.93,82.68,FALSE
"56","Czech Republic",79.73,76.8,82.82,TRUE
"57","British Virgin Islands",79.67,78.17,81.25,FALSE
"58","Costa Rica",79.64,76.99,82.43,FALSE
"59","Cuba",79.64,77.29,82.14,FALSE
"60","United Arab Emirates",79.56,78.21,80.99,FALSE
"61","Albania",79.47,76.8,82.33,FALSE
"62","Curacao",79.42,77.09,81.87,NA
"63","Sint Maarten",79.26,76.91,81.73,FALSE
"64","Kuwait",79.13,77.67,80.65,FALSE
"65","Saint Lucia",78.95,76.21,81.84,FALSE
"66","New Caledonia",78.83,74.93,82.92,FALSE
"67","Lebanon",78.76,77.36,80.23,FALSE
"68","Poland",78.76,75.02,82.73,FALSE
"69","Barbados",78.55,75.79,81.35,FALSE
"70","French Polynesia",78.43,76.11,80.86,FALSE
"71","Uruguay",78.43,75.32,81.64,FALSE
"72","United States",78.38,76.01,80.86,FALSE
"73","Paraguay",78.37,75.72,81.15,TRUE
"74","Argentina",78.31,75.23,81.59,FALSE
"75","Slovakia",78.31,74.83,82.04,TRUE
"76","Dominica",78.21,75.25,81.31,FALSE
"77","Algeria",78.03,76.57,79.57,FALSE
"78","Aruba",78.01,74.93,81.15,FALSE
"79","Ecuador",78,75.06,81.1,FALSE
"80","Sri Lanka",78,74.57,81.56,FALSE
"81","Bosnia and Herzegovina",77.98,75.02,81.15,FALSE
"82","Estonia",77.88,73.25,82.73,FALSE
"83","Antigua and Barbuda",77.8,75.63,80.08,FALSE
"84","Montenegro",77.75,75.32,80.27,FALSE
"85","People's Republic of China",77.72,75,80.7,FALSE
"86","Thailand",77.66,74.65,80.83,FALSE
"87","Panama",77.62,74.76,80.66,FALSE
"88","Tonga",77.53,75.89,79.23,FALSE
"89","Georgia",77.5,73.45,81.74,FALSE
"90","Guam",77.5,75.07,80.08,FALSE
"91","Croatia",77.22,74.1,80.53,FALSE
"92","Hungary",77.2,73.55,81.06,TRUE
"93","Libya",77.18,74.94,79.53,FALSE
"94","Cook Islands",77.14,74.32,80.11,FALSE
"95","Saint Kitts and Nevis",77.08,74.63,79.58,FALSE
"96","Maldives",76.94,74.57,79.42,FALSE
"97","Oman",76.9,74.96,78.93,FALSE
"98","North Macedonia",76.84,74.73,79.08,TRUE
"99","Tunisia",76.82,75.14,78.6,FALSE
"100","Solomon Islands",76.7,74.05,79.49,FALSE
"101","Saint Vincent and the Grenadines",76.68,74.63,78.79,FALSE
"102","Saudi Arabia",76.65,75.07,78.32,FALSE
"103","Northern Mariana Islands",76.58,74.48,79.03,FALSE
"104","West Bank",76.38,74.29,78.6,NA
"105","Turkey",76.21,73.84,78.7,FALSE
"106","Armenia",76.13,72.86,79.68,TRUE
"107","The Bahamas",76.13,73.2,79.14,NA
"108","Malaysia",76.13,74.5,77.87,FALSE
"109","Seychelles",76.1,71.67,80.66,FALSE
"110","Jordan",76.01,74.51,77.6,FALSE
"111","Trinidad and Tobago",75.94,74.02,77.93,FALSE
"112","Brazil",75.92,72.5,79.5,FALSE
"113","Latvia",75.91,71.47,80.56,FALSE
"114","Belize",75.82,74.23,77.5,FALSE
"115","Lithuania",75.78,70.42,81.44,FALSE
"116","Jamaica",75.75,73.98,77.6,FALSE
"117","Romania",75.75,72.3,79.4,FALSE
"118","Grenada",75.74,73.13,78.6,FALSE
"119","Montserrat",75.7,76.66,74.7,FALSE
"120","Bulgaria",75.57,72.36,78.97,FALSE
"121","Vietnam",75.52,72.95,78.37,FALSE
"122","Gaza Strip",75.4,73.65,77.25,NA
"123","El Salvador",75.37,71.88,79.04,FALSE
"124","American Samoa",75.32,72.83,77.97,FALSE
"125","Uzbekistan",75.29,72.27,78.5,TRUE
"126","Iran",75.25,73.89,76.67,FALSE
"127","Samoa",75.19,72.28,78.25,FALSE
"128","Honduras",75.17,71.63,78.82,FALSE
"129","Vanuatu",75.14,73.45,76.91,FALSE
"130","Colombia",74.89,71.27,78.69,FALSE
"131","Mauritius",74.86,72.04,77.88,FALSE
"132","Nicaragua",74.78,72.56,77.11,FALSE
"133","Bangladesh",74.7,72.52,76.96,FALSE
"134","Marshall Islands",74.65,72.4,77.01,FALSE
"135","Palau",74.64,71.48,78,FALSE
"136","Egypt",74.45,73.26,75.72,FALSE
"137","Federated States of Micronesia",74.44,72.34,76.66,FALSE
"138","Belarus",74.28,68.9,79.97,TRUE
"139","Syria",74.28,72.82,75.84,FALSE
"140","Fiji",74.27,71.6,77.07,FALSE
"141","Serbia",74.17,71.5,77,TRUE
"142","Azerbaijan",74.15,71.08,77.41,TRUE
"143","Greenland",73.98,71.28,76.82,FALSE
"144","Cabo Verde",73.75,71.41,76.15,NA
"145","Morocco",73.68,71.98,75.46,FALSE
"146","Ukraine",73.45,68.8,78.39,FALSE
"147","Venezuela",73.29,70.12,76.62,FALSE
"148","Iraq",73.18,71.3,75.15,FALSE
"149","Indonesia",73.08,70.86,75.4,FALSE
"150","Guatemala",72.91,70.88,75.04,FALSE
"151","Dominican Republic",72.56,70.86,74.33,FALSE
"152","Kazakhstan",72.53,67.43,77.31,TRUE
"153","Bolivia",72.5,71.04,74.02,TRUE
"154","Malawi",72.44,69.33,75.59,TRUE
"155","Moldova",72.44,68.6,76.52,TRUE
"156","Russia",72.44,66.92,78.3,FALSE
"157","Suriname",72.42,68.81,76.27,FALSE
"158","Nepal",72.4,71.66,73.17,TRUE
"159","Kyrgyzstan",72.35,68.27,76.71,TRUE
"160","Mexico",72.32,68.93,75.88,FALSE
"161","Bhutan",72.31,71.19,73.49,TRUE
"162","Guyana",71.87,70.03,73.8,FALSE
"163","Turkmenistan",71.83,68.8,75,TRUE
"164","North Korea",71.77,67.88,75.88,FALSE
"165","Mongolia",71.37,67.19,75.76,TRUE
"166","Togo",71.36,68.76,74.03,FALSE
"167","Kosovo",71.12,68.83,73.58,TRUE
"168","Cambodia",70.65,68.79,72.59,FALSE
"169","Tanzania",70.19,68.42,72.02,FALSE
"170","Philippines",70.14,66.6,73.86,FALSE
"171","Senegal",69.96,68.23,71.77,FALSE
"172","Burma",69.92,68.27,71.67,NA
"173","Timor-Leste",69.92,68.25,71.7,FALSE
"174","Gabon",69.7,67.98,71.48,FALSE
"175","Kenya",69.69,67.98,71.43,FALSE
"176","Pakistan",69.67,67.62,71.82,FALSE
"177","Papua New Guinea",69.43,67.76,71.19,FALSE
"178","Ghana",69.37,67.7,71.09,FALSE
"179","Tajikistan",69.36,66.2,72.69,TRUE
"180","Uganda",68.96,66.71,71.27,TRUE
"181","Peru",68.94,65.38,72.67,FALSE
"182","Tuvalu",68.38,65.96,70.92,FALSE
"183","Ethiopia",68.25,66.12,70.44,TRUE
"184","Madagascar",68.17,66.8,69.57,FALSE
"185","Laos",68.15,66.49,69.88,TRUE
"186","Nauru",67.93,64.38,71.62,FALSE
"187","Kiribati",67.9,65.3,70.64,FALSE
"188","The Gambia",67.6,65.83,69.41,NA
"189","Yemen",67.51,65.19,69.94,FALSE
"190","Burundi",67.42,65.32,69.59,TRUE
"191","India",67.22,65.46,69.16,FALSE
"192","Comoros",67.2,64.93,69.54,FALSE
"193","Sudan",67.12,64.89,69.46,FALSE
"194","São Tomé and Príncipe",67.06,65.44,68.72,FALSE
"195","Eritrea",66.85,64.25,69.53,FALSE
"196","Namibia",66.47,64.46,68.53,FALSE
"197","Zambia",66.26,64.52,68.06,TRUE
"198","Haiti",65.95,63.26,68.67,FALSE
"199","Rwanda",65.85,63.89,67.86,TRUE
"200","Botswana",65.64,63.6,67.74,TRUE
"201","Liberia",65.45,63.19,67.78,FALSE
"202","South Africa",65.32,63.99,66.68,FALSE
"203","Djibouti",65.3,62.72,67.96,FALSE
"204","Mauritania",65.22,62.77,67.75,FALSE
"205","Guinea",63.9,62.04,65.82,FALSE
"206","Equatorial Guinea",63.7,61.44,66.03,FALSE
"207","Guinea-Bissau",63.68,61.45,65.99,FALSE
"208","Burkina Faso",63.44,61.63,65.31,TRUE
"209","Zimbabwe",63.32,61.18,65.52,TRUE
"210","Cameroon",63.27,61.49,65.09,FALSE
"211","Mali",62.41,60.19,64.7,TRUE
"212","Côte d'Ivoire",62.26,60.07,64.52,NA
"213","Benin",62.21,60.39,64.14,FALSE
"214","Angola",62.11,60.05,64.24,FALSE
"215","Republic of the Congo",62.1,60.65,63.61,FALSE
"216","Democratic Republic of the Congo",61.83,60.03,63.69,FALSE
"217","Nigeria",61.33,59.51,63.27,FALSE
"218","Niger",60.09,58.55,61.68,TRUE
"219","Eswatini",59.69,57.62,61.81,TRUE
"220","Lesotho",59.57,57.57,61.64,TRUE
"221","South Sudan",59.16,57.43,60.97,TRUE
"222","Chad",59.15,57.32,61.06,TRUE
"223","Sierra Leone",58.76,57.16,60.41,FALSE
"224","Mozambique",57.1,55.76,58.49,FALSE
"225","Somalia",55.72,53.39,58.12,FALSE
"226","Central African Republic",55.52,54.19,56.88,TRUE
"227","Afghanistan",53.65,52.1,54.28,TRUE
"228","World (2020)",70.5,68.4,72.6,NA
"229","European Union (2021)",77.63,72.98,82.51,NA
